# length1, length2, I_lambda1, I_lambda2, I_lambda3, Molecule
1.2579052324295101,2.7461055215439263,-0.2476824478027333,5.14695567559321,6.571757690805466,A
5.203887938842572,3.3112058067906784,0.6257888865561809,4.137961304201538,1.5014483885721446,A
-0.37788678025376155,-2.577656119225436,0.3606868867305013,-2.007321062814902,4.3641523997568825,A
2.9575424437301683,0.10392721282712947,1.7546829177550392,4.734435687752699,2.984435470900988,A
1.6983776368367443,-0.7968781285128224,3.1807733554511155,2.7400759639675476,4.198343365981436,A
2.049824484443879,1.1471140232563393,3.049556985392101,1.957841082987171,4.626515451321227,A
-2.797996392123176,1.2416113127377642,3.3534860606959143,0.051338166407111974,5.150241839278202,A
0.24286119183312782,5.743481227778187,3.2987568903375792,5.083468472880536,3.761462751586421,A
-0.16216834359280008,2.097704473785368,1.0366658247640572,2.432189951418506,7.040733492997012,A
1.849850823346269,1.2348266955609104,-0.18984532876677074,0.8226679956307406,5.574197142809734,A
-2.7004224671515584,3.857378838788064,3.7600588402662636,5.339367031365659,2.3674758738643504,A
-0.36640125187525885,0.4413136009357337,1.033701592318677,3.1023604418530075,5.58536906815136,A
-0.5213023497176368,0.45042883810485057,1.0197543448103887,2.650212000070652,3.9470157924540756,A
-0.1217902153610726,-0.5667168588386067,3.9609725985826056,3.4362662199128975,3.914590746785859,A
1.0772753150688223,-1.1433249605634437,-0.6605852373444185,4.060475013490697,2.4713401823102714,A
-0.15866412938592367,1.2821228791169947,1.8805546773963555,1.4083975129540045,1.3856182059882154,A
2.0730775357062035,1.2654216525628819,-0.8812050324014802,1.7208068767765163,3.745066122921919,A
1.8530326581680068,-0.22071350473765405,2.349572041990401,3.6853956150841314,8.782885814128957,A
-0.35886563304526997,-1.0314785886518938,2.9253461022678264,1.3140584547635668,2.427986262438608,A
1.4081829854264147,2.966669000103508,4.475069300852548,4.580765519858146,3.040776098741496,A
-2.3383937768158582,-0.05728884965210046,2.259169244256293,2.2750827731335974,6.568425899974832,A
-0.30262055852533365,2.363395287678145,0.3908010206347041,3.579947856997214,3.8431431195444072,A
1.149073579449382,1.012494405298877,1.9542850924260824,2.2986454636682367,5.279749786060002,A
2.553019210454258,2.011151048145905,1.8194904395430873,-0.24158952142530543,3.3422536171607176,A
-1.0722791723497251,1.4428816352495204,1.4209782279452035,3.486367749511035,3.1326762637978014,A
2.532987864177848,1.5467357480988815,2.676137416421505,2.1062146449513754,3.557599401854354,A
-0.6644540845006974,0.7996251565941099,2.0118864112893053,3.7251137607676306,5.143088179748674,A
2.3595778911976506,0.2846849035557758,2.8082576591519866,2.0914599816084722,6.47132622252695,A
0.3683927114150639,1.701398426623192,1.5929472427791493,5.599767362303901,3.4411118023701994,A
-1.4779119970979884,-0.7915172770927577,2.1367269210397666,4.311342441640303,4.094537961492857,A
3.060019898373432,2.7811782150070403,3.2411849607233414,1.0388178354105984,2.792871905473908,A
-1.057963972451717,3.3683724547246525,1.4821788707641164,3.7825682534531744,4.951457825141215,A
-0.63887849061925,0.1729656910070394,0.7523555755222799,1.5104780217750537,3.0045211524606965,A
2.672655814604595,1.0000687041569898,4.179140643511719,2.985948136593693,2.5897456617615795,A
-1.7815988227488657,-0.766854053836171,1.7047886310031934,0.2841831589747503,4.3660118053373465,A
1.6927023314200262,-0.1419855862003796,0.22383063577661932,1.1114567327667406,5.246513269914692,A
2.8657299262197897,1.8195333523002564,3.320217828433631,2.974138845701753,1.8122041350603517,A
3.064221100483721,2.061526143197809,0.9107592883450231,4.460227465475253,3.7329020534847372,A
2.350658795181169,3.143074034853075,2.656344029973292,-1.0147817200201983,6.745313254669524,A
2.285289199376285,-0.9411710008905323,1.6808569099165225,2.1471527277192335,1.0691809157122831,A
2.5972924225760208,-0.36227785501299814,0.7076555653924663,3.123131628587214,3.6786622875284762,A
3.0876089344328963,0.9747313097349914,2.2028577518804284,3.4490757967971364,1.567634884721707,A
